覺	jué
覺	jiào
睦	mù
誦	sòng
甲	jiǎ
甲	jiǎ
乙	yǐ
戊	wù
庚	gēng
辛	xīn
壬	rén
癸	guǐ
丑	chǒu
寅	yín
辰	chén
巳	sì
午	wǔ
申	shēn
酉	yǒu
戌	xū
亥	hài
虎	hǔ
蛇	shé
雞	jī
狗	gǒu
謂	wèi
司寇	sīkòu
寇	kòu
戮	lù
令	líng
令	líng
令	lìng
卿	qīng
鵬	Péng
鄰	lín
助	zhù
苗	miáo
嫁	jià
獸	shòu
巧	qiǎo
仞	rèn
箸	zhù
貧	pín
黍	shǔ
苟	gǒu
合	hé
仰	yǎng
施	shī
施	yì
容	róng
從容	cóngróng
狄/翟	Dí
傲/驁	ào
慢	màn
蝴蝶/胡蝶	húdié
麒麟	qílín
召	zhào
歸	guī
歸	guī
歸	guī
室	shì
築	zhú
狼	láng
棲	qī
博	bó
久	jiǔ
窮	qióng
烏	wū
皇帝	huángdì
驕	jiāo
鮮	xiaň
羞	xiū
楮	chǔ
葉	yè
美	měi
棄	qì
擇	zé
悌/弟	tì
恆	héng
飢	jī
寒	hán
資	zī
帛	bó
雖	suī
雖然	suīrán
存	cún
變	biàn
隨	suí
隨	Suí
蹄	tí
踐	jiàn
霜	shuāng
雪	xuě
毛	máo
禦	yù
風	fēng
別	bié
別	bié
勞	lào
勞	láo
息	xí
慮	lǜ
乘	chéng
乘	shèng
吠	fèi
及	jí
盟	méng
宰	zǎi
宰夫	zǎifū
且	qiě
舍	shě
舍	shè
謀	móu
依	yī
慟	tòng
哉	zāi
奚	xī
巍巍	wéiwéi
討	tǎo
斯	sī
勝	shēng
勝	shèng
夢	mèng
嗚呼	wūhū
哀	āi
全	quán
險	xiǎn
次	cì
臭	chòu
娶	qǔ
黎民	límín
黎	lí
脣	chún
貳	èr
謁	yè
饑	jī
宣	xuān
辜	gū
述	shù
頌	sòng
桃	táo
遂	suì
濟	jì
縱	zòng
悔	huǐ
材	cái
縣	xiàn
況	kuàng
圍	wéi
蕭	Xiāo
掌	zhǎng
拜	bài
首	shǒu
鄙	bǐ
處	chǔ
處	chù
答	dá
屏	bǐng
聰	cōng
樸	pǔ
厚	hòu
偽	wèi
封	fēng
遺	yí
遺	wèi
陷	xiàn
鄉	xiāng
鄉	xiàng
耨	nòu
養	yaňg
饜	yàn
辱	rù
囿	yòu
不肖	bùxiào
竹	zhú
悅/說	yuè
稱	chēng
俗	sú
融融	róngróng
慍	yùn
退	tuì
彌	mí
即/卽	jí
云	yún
踰	yú
矩	jǔ
辟	bì
辟/闢	pì
計	jì
備	bèi
備	bèi
童	tóng
畜	xù
畜	chù
對	duì
趨	qū
庭	tíng
飾	shì
參	cān
恕	shù
應	yìng
量	liàng
賓	bīn
承	chéng
邦	bāng
敏	mǐn
寬	kuān
侮	wǔ
遲	chí
佑/右/祐	yòu
動	dòng
約	yuē
禁	jìn
每	měi
鄹/鄒	Zōu
懷	huái
嗜	shì
度	dù
度	duó
維	wéi
廉	lián
恥/耻	chǐ
飭/飾	chì
槁	gǎo
暴	bào
暴/曓	pù
衍	yǎn
裘	qiú
辯	biàn
倒	daǒ
譽	yù
蕪	wú
曠	kuàng
姦/菅	jiān
叟	sǒu
號	hào
旅	lǚ
卑	bēi
幣	bì
招	zhāo
表	biǎo
征	zhēng
適	shì
刺	cì
賦	fù
比	bì
比	bì
省	shěng
省	xǐng
薄	bó
稅	shuì
斂	liǎn
壯	zhuàng
梃	tǐng
撻	tà
權	quán
威/畏	wēi
急	jí
破	pò
襲	xí
徙	xǐ
洗/洒	xǐ
致	zhì
堅	jiān
凍	dòng
餓	è
散	sàn
溺	nì
困	kùn
虐	nüè
湍	tuān
流	liú
搏	bó
躍	yuè
顙	sǎng
豈	qǐ
喻	yù
冰	bīng
繩	shéng
輮/揉	róu
才	cái
曲	qū
曲	qǔ
規	guī
挺	tǐng
乾	qián
礪	lì
臨	lín
谿	xī
原	yuán
妄	wàng
革	gé
滅	miè
須	xū
須臾	xūyú
跂	qǐ
介	jiè
提	tí
節	jié
彰/章/璋	zhāng
臂	bì
檝	jí
積	jī
殘	cán
賊	zéi
淫	yín
貪	tān
議	yì
矯	jiǎo
蔽	bì
嫉/疾	jí
避/辟	bì
設	shè
察	chá
導/道	daǒ
氣	qì
禽	qín
禽獸	qínshòu
羣/群	qún
裁	cái
頃	qǐng
育	yù
殖	zhí
橋	qiáo
康	kāng
進	jìn
驚	jīng
亟	jí
亟	qì
巖	yán
虢	Guó
追	zhuī
掘/闕	jué
奔	bēn
逆	nì
屢	lǚ
厭	yàn
早	zǎo
雉	zhì
堪	kān
滋/兹	zī
蔓	màn
寵	chǒng
斃	bì
丈夫	zhàng fū
逃	táo
置	zhì
結	jié
暱	nì
崩	bēng
完	wán
繕	shàn
具	jù
期	qī
譏	jī
寘	zhì
邊	biān
境/竟	jìng
帶	dài
一帶甲	dàijia
紀	jì
鼎	dǐng
責	zhài
誨	huì
爵	jué
羹	gēng
繄	yī
隧	suì
饋	kuì
洩洩	yìyì
純	chún
匱	kuì
永	yǒng
彫	diāo
牆	qiáng
臺	tái
彈	tán
丸	wán
胹	ér
熊	xióng
蹯	fán
熟/孰	shú
畚	běn
驟	zòu
諫	jiàn
晨	chén
盛	shèng
槐	huái
昭	zhāo
侍	shì
宴	yàn
扶	fú
嗾	sǒu
獒	áo
猛	měng
鬬/鬪	dòu
佃/田	tián
宦	huàn
否	fǒu
雷	léi
病	bìng
簞	dān
橐	tuó
戟	jǐ
飯	fàn
圓/員	yuán
更	gēng
迎	yìng
狐	hú
惜	xī
盜	dào
宅	zhái
謗	bàng
巫	wū
弭/彌	mǐ
障	zhàng
防	fáng
口	kǒu
壅	yōng
潰	kuì
斟酌	zhēnzhuó
悖	bèi
財	cái
隰	xí
沃	wò
阜	fù
娣	dì
速/遫	sù
警/䜘/儆	jǐng
御	yù
吉	jí
優	yōu
精	jīng
潔/絜	jié
僨	fèn
讒	chán
賂	lù
疆	jiāng
埸	yì
旌	jīng
漠/莫	mò
妙	miào
徼	jiào
宇	yǔ
講	jiǎng
便	biàn
沒	mò
勉	miǎn
並	bìng
傾	qīng
恃	shì
顯	xiǎn
柱	zhù
享	xiǎng
享	xiǎng
質	zhì
質	zhì
運	yùn
盈	yíng
英	yīng
栩栩	xǔxǔ
愉/喻	yú
俄	é
蘧蘧	qúqú
竊	qiè
苦	kǔ
斲	zhuó
椎	chuí
鑿	zuò
糟	zāo
粕/魄	pò
踞	jù
盆	pén
歌	gē
概然	gàirán
芒芒	mángmáng
芒芴	mángwù
垂	chuí
敖	áo
偃	yaň
噭噭然	jiàojiàorán
槪	gài
累	lěi
葬	zàng
圃	pǔ
虧	kuī
攘	ráng
豚	tún
欄	lán
廄	jiù
拖/扡/拕	tuō
戈	gē
藏	cáng
滿	mǎn
挾	xié
矢	shǐ
射	shè
脊	jǐ
殪	yì
弢	tāo
裳	cháng
令尹	lìngyǐn
戒/誡	jiè
誅	zhū
憯	cǎn
祥	xiáng
闇	àn
萌	méng
賞	shǎng
祗	zhī
悟/寤	wù
效/校	xiào
霸	bà
覆	fù
覆	fù
枉	wǎng
絶/絕	jué
逐	zhú
馳	chí
糧	liáng
費	fèi
客	kè
膠	jiāo
奉	fèng
鈍/頓	dùn
挫	cuò
銳	duì
殫	dān
弊	bì
步	bù
駕	jià
疲/罷	pí
伍	wǔ
役	yì
籍	jí
驅	qū
拔	bá
倍	bèi
擒	qín
并/幷	bìng
均	jūn
輔	fǔ
隙	xì
縻	mí
負	fù
負	fù
負	fù
談	tán
嚴	yán
造	zào
諺	yàn
吏	lì
委吏	wěilì
拘	jū
讎/仇	chóu
粟	sù
后	hòu
潤	rùn
繼	jì
勳	xūn
辨/辯	biàn
舞	wǔ
蠹	dù
蟲	chóng
搆	gòu
巢	cháo
蓏	luǒ
蜯	bàng
蛤	gé
腥	xīng
臊	sāo
胃	wèi
鑽	zuān
燧	suì
瀆	dú
織	zhī
俠	xiá
私	sī
趣	qù
背	bèi
環	huán
悉	xī
香	xiāng
照/炤	zhào
鉅子	jùzĭ
庖	páo
調	tiáo
專	zhuān
乏	fá
諾	nuò
倚	yǐ
鋏	jiá
揭	jiē
署	shǔ
怪	guài
謝	xiè
倦	juàn
憒	kuì
裝	zhuāng
券	quàn
契	qì
償	cháng
燒	shāo
珍	zhēn
充	chōng
奈/柰	nài
區區	qūqū
拊	fǔ
朞/期	jī
攜	xié
禱	daǒ
界	jiè
圩	yú
頂	dǐng
嬉	xī
戲	xì
俎	zǔ
豆	dòu
妾	qiè
徵	zhēng
佐	zuŏ
僂	lǚ
傴	yǔ
俯	fǔ
饘	zhān
粥	zhōu
餬	hú
料	liào
蕃	fán
斥	chì
攝相	shèxiàng
